階数,部屋名,読み
B1F ,印刷室,いんさつしつ
PH ,屋内運動場,おくないうんどうじょう
1F ,音楽室,おんがくしつ
2F ,階段室,かいだんしつ
3F ,機械室,きかいしつ
4F ,器具庫,きぐこ
5F ,教育相談室,きょういくそうだんしつ
6F ,競技場,きょうぎじょう
7F ,金工室,きんこうしつ
8F ,玄関,げんかん
9F ,剣道場,けんどうば
10F ,更衣室,こういしつ
,校長室,こうちょうしつ
,ゴミ捨て場,ごみすてば
,コンピューター室,こんぴゅーたーしつ
,事務室,じむしつ
,シャワー室,しゃわーしつ
,柔道場,じゅうどうば
,準備室,じゅんびしつ
,障害者便所,しょうがいしゃべんじょ
,昇降口,しょうこうくち
,職員室,しょくいんしつ
,女子更衣室,じょしこういしつ
,女子便所,じょしべんじょ
,資料館,しりょうかん
,ステージ,すてーじ
,倉庫,そうこ
,脱衣室,だついしつ
,多目的室,たもくてきしつ
,男子更衣室,だんしこういしつ
,男子便所,だんしべんじょ
,通路,つうろ
,図書室,としょしつ
,配膳室,はいぜんしつ
,控室,ひかえしつ
,美術室,びじゅつしつ
,部室,ぶしつ
,普通教室,ふつうきょうしつ
,便所,べんじょ
,防具庫,ぼうぐこ
,ホール,ほーる
,保健室,ほけんしつ
,木工室,もっこうしつ
,やすらぎの部屋,やすらぎのへや
,湯沸室,ゆわかししつ
,用務員室,ようむいんしつ
,廊下,ろうか
,渡り廊下,わたりろうか
,アリーナ,ありーな
,オープンルーム,おーぷんるーむ
,屋上,おくじょう
,屋上テラス,おくじょうてらす
,音楽室B,おんがくしつB
,ギャラリー,ぎゃらりー
,教官室,きょうかんしつ
,生徒会室,せいとかいしつ
,第2理科室,だい2りかしつ
,調理室,ちょうりしつ
,点検通路,てんけんつうろ
,バルコニー,ばるこにー
,吹き抜け,ふきぬけ
,放送室,ほうそうしつ
,ボランティア室,ぼらんてぃあしつ
,理科室,りかしつ
,廊下　,ろうか　
,教室,きょうしつ
,第2図書室,だい2としょしつ
,被服室,ひふくしつ
,理科準備室,りかじゅんびしつ
,オープンスペース,おーぷんすぺーす
,家庭科室,かていかしつ
,教材室,きょうざいしつ
,視聴覚室,しちょうかくしつ
,第2音楽室,だい2おんがくしつ
,プール,ぷーる
,屋根,やね
,ろ過機・機械室,ろかき・きかいしつ
,屋上　階段室,おくじょう　かいだんしつ
,北側,きたがわ
,地下部室,ちかぶしつ
,塔屋,とうや
,西側,にしがわ
,東側,ひがしがわ
,南側,みなみがわ
,地下階段室,ちかかいだんしつ
,地下金工室,ちかきんこうしつ
,地下廊下,ちかろうか
,運動場,うんどうじょう
,プール　,ぷーる　
,東面,ひがしめん
,西面,にしめん
,南面,みなみめん
,北面,きためん
