劣化,劣化_読み,1文字目
Pコン跡,Pこんあと,P
穴,あな,あ
網入りガラス未使用,あみいりりがらすみしよう,あ
網目状ひび割れ,あみめじょうひびわれ,あ
違法倉庫,いほうそうこ,い
浮き,うき,う
延焼の恐れがある部分にフロートガラス使用,えんしょうのおそれがあるぶぶんにふろーとがらすしよう,え
延焼の恐れのある部分が防火設備となっていない,えんしょうのおそれのあるぶぶんがぼうかせつびとなっていない,え
延焼ライン網入りガラス未使用,えんしょうらいんあみいりがらすみしよう,え
落葉詰まり,おちばつまり,お
落葉堆積,おちばたいせき,お
カバー外れ,かばーはずれ,か
カバー破損,かばーはそん,か
カバー腐食,かばーふしょく,か
火気使用室にフロートガラス使用,かきしようしつにふろーとがらすしよう,か
開閉困難,かいへいこんなん,か
開閉不可,かいへいふか,か
開閉不能,かいへいふのう,か
開閉不良,かいへいふりょう,か
確認不可,かくにんふか,か
換気口塞ぎ,かんきくちふさぎ,か
緩衝材剥がれ,かんしょうざいはがれ,か
陥没,かんぼつ,か
金具外れ,かなぐはずれ,か
傾き,かたむき,か
ガラスなし,がらすなし,が
崖から土砂流出,がけからどしゃりゅうしゅつ,が
キャップなし,きゃっぷなし,き
亀甲ひび割れ,きっこうひびわれ,き
亀裂,きれつ,き
強度不足,きょうどふそく,き
切れ,きれ,き
クロス剥がれ,くろすはがれ,く
ぐらつき,ぐらつき,ぐ
傾斜,けいしゃ,け
経年劣化,けいねんれっか,け
欠損,けっそん,け
欠落,けつらく,け
固定なし,こていなし,こ
固定不良,こていふりょう,こ
勾配不良,こうばいふりょう,こ
勾配不良よる水溜まり,こうばいふりょうよるみずたまりまり,こ
ゴミ詰まり,ごみつまり,ご
ゴムなし,ごむなし,ご
ゴム破損,ごむはそん,ご
作動不良,さどうふりょう,さ
錆,さび,さ
錆汁,さびじる,さ
雑草繁殖,ざっそうはんしょく,ざ
シーリングなし,しーりんぐなし,し
シーリング劣化,しーりんぐれっか,し
シミ跡,しみあと,し
仕上げ材剥がれ,しあげざいはがれ,し
仕上げ材浮き,しあげざいうき,し
仕上げ材腐食,しあげざいふしょく,し
使用不可,しようふか,し
支線錆,しせんさび,し
植生繁茂,しょくせいはんも,し
忍び返し破損,しのびかえしはそん,し
白錆,しろさび,し
樹木によるアスファルト隆起,じゅもくによるあすふぁるとりゅうき,じ
樹木による塞がり,じゅもくによるふさがり,じ
樹木越境,じゅもくえっきょう,じ
重量物あり,じゅうりょうぶつあり,じ
常時閉鎖,じょうじへいさ,じ
地盤陥没,じばんかんぼつ,じ
地盤沈下,じばんちんか,じ
地盤沈下によるコンクリート舗装亀裂,じばんちんかによるこんくりーとほそうきれつ,じ
地盤沈下による階段ひび割れ,じばんちんかによるかいだんひびわれ,じ
地盤沈下よる擁壁のズレ,じばんちんかよるようへきのずれ,じ
地盤隆起,じばんりゅうき,じ
スズメバチの巣,すずめばちのす,す
滑り止めなし,すべりとめなし,す
隙間,すきま,す
ずれ,ずれ,ず
せり出し,せりだし,せ
施錠あり,せじょうあり,せ
施錠なし,せじょうなし,せ
施錠不可,せじょうふか,せ
設置なし,せっちなし,せ
全閉不能,ぜんぺいふのう,ぜ
損壊,そんかい,そ
造作,ぞうさ,ぞ
タイル浮き,たいるうき,た
たわみ,たわみ,た
球なし,たまなし,た
高さ不足,たかさふそく,た
堆積,たいせき,た
竪穴区画が成立していない,たてあなくかくがせいりつしていない,た
竪穴区画に防火設備なし,たてあなくかくにぼうかせつびなし,た
棚あり,たなあり,た
棚未固定,たなひつじこてい,た
倒れ,たおれ,た
立ち入り禁止,たちいりきんし,た
立上り亀裂,たちあがりきれつ,た
脱落,だつらく,だ
断熱材剥がれ,だんねつざいはがれ,だ
沈下,ちんか,ち
詰まり,つまり,つ
露筋,つゆすじ,つ
手摺なし,てすりなし,て
"手摺の高さが1,100以下","てすりのたかさが1,100いか",て
鉄線錆,てっせんさび,て
転倒,てんとう,て
取手なし,とってなし,と
塗装剥がれ,とそうはがれ,と
塗装劣化,とそうれっか,と
塗膜剥がれ,とまくはがれ,と
塗膜剥離,とまくはくり,と
塗膜浮き,とまくうき,と
塗膜膨れ,とまくふくれ,と
塗膜防水剥がれ,とまくぼうすいはがれ,と
土砂詰まり,どしゃつまり,ど
土砂削れ,どしゃけずれ,ど
土砂堆積,どしゃたいせき,ど
土砂沈下,どしゃちんか,ど
土砂流出,どしゃりゅうしゅつ,ど
道路側に倒れ,どうろがわにたおれ,ど
なし,なし,な
塗り戻し箇所鉄筋錆,ぬりもどしかしょてっきんさび,ぬ
塗り戻し箇所剥がれ,ぬりもどしかしょはがれ,ぬ
塗り戻し箇所爆裂,ぬりもどしかしょばくれつ,ぬ
ねじ外れ,ねじはずれ,ね
ネット塞ぎ,ねっとふさぎ,ね
ハチの巣,はちのす,は
はらみ,はらみ,は
ハンドルなし,はんどるなし,は
外れ,はずれ,は
破損,はそん,は
破断,はだん,は
排水不良,はいすいふりょう,は
排水不良による水溜り,はいすいふりょうによるみずたまり,は
剥がれ,はがれ,は
剥落,はくらく,は
白華,はっか,は
爆裂,ばくれつ,ば
パッキン劣化,ぱっきんれっか,ぱ
ひずみ,ひずみ,ひ
ひび割れ,ひびわれ,ひ
控え壁なし,ひかえかべなし,ひ
紐切れ,ひもきれ,ひ
紐破損,ひもはそん,ひ
表面劣化,ひょうめんれっか,ひ
蓋なし,ふたなし,ふ
塞ぎ,ふさぎ,ふ
不燃材未使用,ふねんざいみしよう,ふ
不陸,ふりく,ふ
不良,ふりょう,ふ
腐食,ふしょく,ふ
腐食による穴,ふしょくによるあな,ふ
膨れ,ふくれ,ふ
部材外れ,ぶざいはずれ,ぶ
部分内壁ひび割れ,ぶぶんないへきひびわれ,ぶ
物品,ぶっぴん,ぶ
物品あり,ぶっぴんあり,ぶ
物品により幅員が確保されていない,ぶっぴんによりふくいんがかくほされていない,ぶ
物品により廊下の幅員が確保されていない,ぶっぴんによりろうかのふくいんがかくほされていない,ぶ
物品放置,ぶっぴんほうち,ぶ
プレートずれ,ぷれーとずれ,ぷ
へこみ,へこみ,へ
閉鎖,へいさ,へ
閉鎖不良,へいさふりょう,へ
変形,へんけい,へ
沈下,ちんか,ち
膨れ,ふくれ,ふ
補修跡ひび割れ,ほしゅうあとひびわれ,ほ
補修跡亀裂,ほしゅうあときれつ,ほ
補修跡欠損,ほしゅうあとけっそん,ほ
補修跡仕上げ材剥がれ,ほしゅうあとしあげざいはがれ,ほ
補修跡剥がれ,ほしゅうあとはがれ,ほ
補修跡爆裂,ほしゅうあとばくれつ,ほ
補修跡浮き,ほしゅうあとうき,ほ
崩壊,ほうかい,ほ
法不適合,ほうふてきごう,ほ
ボルト錆,ぼるとさび,ぼ
防水浮き,ぼうすいうき,ぼ
防水劣化,ぼうすいれっか,ぼ
周りゴミ,まわりごみ,ま
窓ガラスなし,まどがらすなし,ま
窓ガラス割れ,まどがらすわれ,ま
窓ガラス前物品あり,まどがらすまえぶっぴんあり,ま
窓ガラス破損,まどがらすはそん,ま
摩耗,まもう,ま
水抜きパイプ無し,みずぬききぱいぷなし,み
水抜き穴なし,みずぬききあななし,み
水溜り,みずたまり,み
未使用,みしよう,み
未処理,みしょり,み
未設置,みせつち,み
めくれ,めくれ,め
目地開き,めじひらき,め
目地剥がれ,めじはがれ,め
モルタル欠損,もるたるけっそん,も
モルタル剥離,もるたるはくり,も
モルタル浮き,もるたるうき,も
文字欠損,もじけっそん,も
破れ,やぶれ,や
薬品棚固定なし,やくひんたなこていなし,や
薬品棚未固定,やくひんたなひつじこてい,や
遊離石灰,ゆうりせっかい,ゆ
汚れ,よごれ,よ
擁壁ずれ,ようへきずれ,よ
擁壁ひび割れ,ようへきひびわれ,よ
擁壁欠損,ようへきけっそん,よ
擁壁破損,ようへきはそん,よ
隆起,りゅうき,り
レンガひび割れ,れんがひびわれ,れ
漏水,ろうすい,ろ
漏水ひび割れ,ろうすいひびわれ,ろ
漏水跡,ろうすいあと,ろ
漏水塗膜剥がれ,ろうすいとまくはがれ,ろ
割れ,われ,わ
鳥糞,とりふん,と
