部屋名,読み,1文字目
印刷室,いんさつしつ,い
屋内運動場,おくないうんどうじょう,お
屋内運動場　,おくないうんどうじょう　,お
音楽室,おんがくしつ,お
階段室,かいだんしつ,か
機械室,きかいしつ,き
器具庫,きぐこ,き
教育相談室,きょういくそうだんしつ,き
競技場,きょうぎじょう,き
金工室,きんこうしつ,き
玄関,げんかん,げ
剣道場,けんどうば,け
更衣室,こういしつ,こ
校長室,こうちょうしつ,こ
ゴミ捨て場,ごみすてば,ご
コンピューター室,こんぴゅーたーしつ,こ
事務室,じむしつ,じ
シャワー室,しゃわーしつ,し
柔道場,じゅうどうば,じ
準備室,じゅんびしつ,じ
障害者便所,しょうがいしゃべんじょ,し
昇降口,しょうこうくち,し
職員室,しょくいんしつ,し
女子更衣室,じょしこういしつ,じ
女子便所,じょしべんじょ,じ
資料館,しりょうかん,し
ステージ,すてーじ,す
倉庫,そうこ,そ
脱衣室,だついしつ,だ
多目的室,たもくてきしつ,た
男子更衣室,だんしこういしつ,だ
男子便所,だんしべんじょ,だ
通路,つうろ,つ
図書室,としょしつ,と
配膳室,はいぜんしつ,は
控室,ひかえしつ,ひ
美術室,びじゅつしつ,び
部室,ぶしつ,ぶ
普通教室,ふつうきょうしつ,ふ
便所,べんじょ,べ
防具庫,ぼうぐこ,ぼ
ホール,ほーる,ほ
保健室,ほけんしつ,ほ
木工室,もっこうしつ,も
やすらぎの部屋,やすらぎのへや,や
湯沸室,ゆわかししつ,ゆ
用務員室,ようむいんしつ,よ
廊下,ろうか,ろ
渡り廊下,わたりろうか,わ
アリーナ,ありーな,あ
オープンルーム,おーぷんるーむ,お
屋上,おくじょう,お
屋上テラス,おくじょうてらす,お
音楽室B,おんがくしつB,お
ギャラリー,ぎゃらりー,ぎ
教官室,きょうかんしつ,き
生徒会室,せいとかいしつ,せ
第2理科室,だい2りかしつ,だ
調理室,ちょうりしつ,ち
点検通路,てんけんつうろ,て
バルコニー,ばるこにー,ば
吹き抜け,ふきぬけ,ふ
放送室,ほうそうしつ,ほ
ボランティア室,ぼらんてぃあしつ,ぼ
理科室,りかしつ,り
廊下　,ろうか　,ろ
教室,きょうしつ,き
第2図書室,だい2としょしつ,だ
被服室,ひふくしつ,ひ
理科準備室,りかじゅんびしつ,り
オープンスペース,おーぷんすぺーす,お
家庭科室,かていかしつ,か
教材室,きょうざいしつ,き
視聴覚室,しちょうかくしつ,し
第2音楽室,だい2おんがくしつ,だ
プール,ぷーる,ぷ
屋根,やね,や
ろ過機・機械室,ろかき・きかいしつ,ろ
屋上　階段室,おくじょう　かいだんしつ,お
北側,きたがわ,き
地下部室,ちかぶしつ,ち
塔屋,とうや,と
西側,にしがわ,に
東側,ひがしがわ,ひ
南側,みなみがわ,み
地下階段室,ちかかいだんしつ,ち
地下金工室,ちかきんこうしつ,ち
地下廊下,ちかろうか,ち
運動場,うんどうじょう,う
プール　,ぷーる　,ぷ
